posture,ocap,task,verify,status,tool_calls,write_calls,total_tokens,wall_secs,solve_rc
baseline,off,edit-version,pass,completed,1,1,6698,11.8,0
baseline,off,fix-typo,pass,completed,2,1,6258,4.8,0
baseline,off,write-greeting,pass,completed,1,1,6145,3.5,0
baseline,on,edit-version,pass,completed,1,1,6181,3.3,0
baseline,on,fix-typo,pass,completed,2,1,6261,4.8,0
baseline,on,write-greeting,pass,completed,1,1,6121,3.1,0
tenacity,off,edit-version,pass,completed,1,1,6231,4.3,0
tenacity,off,fix-typo,pass,completed,3,1,6657,7.1,0
tenacity,off,write-greeting,pass,completed,1,1,6126,3.2,0
tenacity,on,edit-version,pass,completed,1,1,6204,3.7,0
tenacity,on,fix-typo,pass,completed,2,1,6368,4.7,0
tenacity,on,write-greeting,pass,completed,1,1,6165,3.9,0
crew,off,edit-version,pass,completed,1,1,6208,3.8,0
crew,off,fix-typo,pass,completed,2,1,6461,7.7,0
crew,off,write-greeting,pass,completed,1,1,6315,5.4,0
crew,on,edit-version,pass,completed,1,1,6234,4.3,0
crew,on,fix-typo,pass,completed,2,1,6273,5.0,0
crew,on,write-greeting,pass,completed,1,1,6273,4.6,0
obsessive,off,edit-version,pass,completed,1,1,6208,3.8,0
obsessive,off,fix-typo,pass,completed,2,1,6408,5.2,0
obsessive,off,write-greeting,pass,completed,1,1,6133,3.2,0
obsessive,on,edit-version,pass,completed,2,1,7059,16.1,0
obsessive,on,fix-typo,pass,completed,2,1,6391,5.1,0
obsessive,on,write-greeting,pass,completed,1,1,6128,3.1,0
