posture,ocap,task,verify,status,tool_calls,write_calls,total_tokens,wall_secs,solve_rc
baseline,off,edit-version,pass,completed,1,1,4341,2.6,0
baseline,off,fix-typo,pass,completed,2,1,4371,5.6,0
baseline,off,write-greeting,pass,completed,1,1,4293,3.2,0
baseline,on,edit-version,pass,completed,1,1,4333,3.3,0
baseline,on,fix-typo,pass,completed,2,1,4375,3.9,0
baseline,on,write-greeting,pass,completed,1,1,4287,7.5,0
tenacity,off,edit-version,pass,completed,1,1,4329,5.4,0
tenacity,off,fix-typo,pass,completed,2,1,4371,6.2,0
tenacity,off,write-greeting,pass,completed,1,1,4291,2.8,0
tenacity,on,edit-version,pass,completed,1,1,4323,2.6,0
tenacity,on,fix-typo,pass,completed,2,1,4365,4.6,0
tenacity,on,write-greeting,pass,completed,1,1,4291,3.7,0
crew,off,edit-version,pass,completed,1,1,4335,2.4,0
crew,off,fix-typo,pass,completed,2,1,4379,4.2,0
crew,off,write-greeting,pass,completed,1,1,4281,4.4,0
crew,on,edit-version,pass,completed,1,1,4325,2.9,0
crew,on,fix-typo,pass,completed,2,1,4371,5.8,0
crew,on,write-greeting,pass,completed,1,1,4257,2.8,0
obsessive,off,edit-version,pass,completed,1,1,4325,3.5,0
obsessive,off,fix-typo,pass,completed,2,1,4367,5.3,0
obsessive,off,write-greeting,pass,completed,1,1,4297,7.0,0
obsessive,on,edit-version,pass,completed,1,1,4333,3.9,0
obsessive,on,fix-typo,pass,completed,2,1,4371,5.8,0
obsessive,on,write-greeting,pass,completed,1,1,4285,4.8,0
