arm,model,repeat,rounds_to_first_correct_file,total_rounds,first_call_correct_crate,confabulated_paths,total_path_refs,rounds_to_honest_miss,prefill_ms
A0,ornith,1,,,,,,,
A0,ornith,2,,,,,,,
A0,ornith,3,,,,,,,
A0,ornith,4,,,,,,,
A0,ornith,5,,,,,,,
A0,claude,1,,,,,,,
A0,claude,2,,,,,,,
A0,claude,3,,,,,,,
A0,claude,4,,,,,,,
A0,claude,5,,,,,,,
A1,ornith,1,,,,,,,
A1,ornith,2,,,,,,,
A1,ornith,3,,,,,,,
A1,ornith,4,,,,,,,
A1,ornith,5,,,,,,,
A1,claude,1,,,,,,,
A1,claude,2,,,,,,,
A1,claude,3,,,,,,,
A1,claude,4,,,,,,,
A1,claude,5,,,,,,,
A2,ornith,1,,,,,,,
A2,ornith,2,,,,,,,
A2,ornith,3,,,,,,,
A2,ornith,4,,,,,,,
A2,ornith,5,,,,,,,
A2,claude,1,,,,,,,
A2,claude,2,,,,,,,
A2,claude,3,,,,,,,
A2,claude,4,,,,,,,
A2,claude,5,,,,,,,
A3,ornith,1,,,,,,,
A3,ornith,2,,,,,,,
A3,ornith,3,,,,,,,
A3,ornith,4,,,,,,,
A3,ornith,5,,,,,,,
A3,claude,1,,,,,,,
A3,claude,2,,,,,,,
A3,claude,3,,,,,,,
A3,claude,4,,,,,,,
A3,claude,5,,,,,,,
A4a,ornith,1,,,,,,,
A4a,ornith,2,,,,,,,
A4a,ornith,3,,,,,,,
A4a,ornith,4,,,,,,,
A4a,ornith,5,,,,,,,
A4a,claude,1,,,,,,,
A4a,claude,2,,,,,,,
A4a,claude,3,,,,,,,
A4a,claude,4,,,,,,,
A4a,claude,5,,,,,,,
A4b,ornith,1,,,,,,,
A4b,ornith,2,,,,,,,
A4b,ornith,3,,,,,,,
A4b,ornith,4,,,,,,,
A4b,ornith,5,,,,,,,
A4b,claude,1,,,,,,,
A4b,claude,2,,,,,,,
A4b,claude,3,,,,,,,
A4b,claude,4,,,,,,,
A4b,claude,5,,,,,,,
A4c,ornith,1,,,,,,,
A4c,ornith,2,,,,,,,
A4c,ornith,3,,,,,,,
A4c,ornith,4,,,,,,,
A4c,ornith,5,,,,,,,
A4c,claude,1,,,,,,,
A4c,claude,2,,,,,,,
A4c,claude,3,,,,,,,
A4c,claude,4,,,,,,,
A4c,claude,5,,,,,,,
A5,ornith,1,,,,,,,
A5,ornith,2,,,,,,,
A5,ornith,3,,,,,,,
A5,ornith,4,,,,,,,
A5,ornith,5,,,,,,,
A5,claude,1,,,,,,,
A5,claude,2,,,,,,,
A5,claude,3,,,,,,,
A5,claude,4,,,,,,,
A5,claude,5,,,,,,,
